ProductName|StringID
Microsoft Teams Calling Plan pay-as-you-go (country zone 1 - US)|Microsoft_Teams_Calling_Plan_pay_as_you_go_(country_zone_1_US)
Microsoft Teams Domestic Calling Plan (240 min)|MCOPSTN_6
Microsoft Teams EEA|Microsoft_Teams_EEA_New
Microsoft Teams Essentials|Teams_Ess
Microsoft Teams Essentials (Microsoft Entra identity)|TEAMS_ESSENTIALS_AAD
Microsoft Teams Exploratory|TEAMS_EXPLORATORY
Microsoft Teams Exploratory Dept|Microsoft_Teams_Exploratory_Dept
Microsoft Teams Phone Standard|MCOEV
Microsoft Teams Phone Standard for DOD|MCOEV_DOD
Microsoft Teams Phone Standard for Faculty|MCOEV_FACULTY
Microsoft Teams Phone Standard for GCC|MCOEV_GOV
Microsoft Teams Phone Standard for GCCHIGH|MCOEV_GCCHIGH
Microsoft Teams Phone Standard for Small and Medium Business|MCOEVSMB_1
Microsoft Teams Phone Standard for Student|MCOEV_STUDENT
Microsoft Teams Phone Standard for TELSTRA|MCOEV_TELSTRA
Microsoft Teams Phone Standard_System_USGOV_DOD|MCOEV_USGOV_DOD
Microsoft Teams Phone Standard_USGOV_GCCHIGH|MCOEV_USGOV_GCCHIGH
Microsoft Teams Phone Resource Account|PHONESYSTEM_VIRTUALUSER
Microsoft Teams Phone Resource Account for Faculty|PHONESYSTEM_VIRTUALUSER_FACULTY
Microsoft Teams Phone Resource Account for GCC|PHONESYSTEM_VIRTUALUSER_GOV
Microsoft Teams Phone Resource Account_USGOV_GCCHIGH|PHONESYSTEM_VIRTUALUSER_USGOV_GCCHIGH
Microsoft Teams Premium Introductory Pricing|Microsoft_Teams_Premium
Microsoft Teams Rooms Basic|Microsoft_Teams_Rooms_Basic
Microsoft Teams Rooms Basic for EDU|Microsoft_Teams_Rooms_Basic_FAC
Microsoft Teams Rooms Basic without Audio Conferencing|Microsoft_Teams_Rooms_Basic_without_Audio_Conferencing
Microsoft Teams Rooms Pro|Microsoft_Teams_Rooms_Pro
Microsoft Teams Rooms Pro for EDU|Microsoft_Teams_Rooms_Pro_FAC
Microsoft Teams Rooms Pro for GCC|Microsoft_Teams_Rooms_Pro_GCC
Microsoft Teams Rooms Pro without Audio Conferencing|Microsoft_Teams_Rooms_Pro_without_Audio_Conferencing
Microsoft Teams Rooms Standard|MEETING_ROOM
